"","population","BroodYear","R_lwr","R_med","R_upr","S_lwr","S_med","S_upr"
"143","Upper Lakes and Mainstem",1999,3.0709139512829,5.18942366620789,7.29192910181526,2.63359000361486,3.40628048293326,4.41362429688966
"144","White-Donjek",1999,7.62718072019167,9.76940698025844,12.6170266023756,1.62140524124684,2.56350881126979,3.85051511029075
"145","Carmacks",2000,8.15153017640785,10.0671352982867,12.5523827758411,5.11921109015672,6.66104774331654,8.65788058575892
"146","Lower Mainstem",2000,6.85788973887697,8.17903914651166,9.66472021691455,13.0508966234105,15.3166214823691,18.0095215185594
"147","Middle Mainstem",2000,6.15747337655061,7.9233060856496,10.0108471307295,4.68696854518697,5.97894781128204,7.70448998258424
"148","Pelly",2000,14.9039745209058,17.1629814850894,20.2315061842602,10.458311532179,12.6330626911608,15.6202052647882
"149","Stewart",2000,6.71031325640273,8.65995339073915,10.9905689212313,2.20842352242092,3.37135725719953,5.03918044477378
"150","Teslin",2000,15.1917022913696,18.1138301520375,21.6809893202561,6.78584502041042,8.53136250722922,10.7184884511649
"151","Upper Lakes and Mainstem",2000,1.21488526505738,2.34921297939804,4.4324965779258,3.93893789312198,4.92043274770645,6.09224975321832
"152","White-Donjek",2000,15.7765427262916,19.0288300131268,23.1852365097399,7.11884722145681,8.53797156478497,10.3448909741706
"153","Carmacks",2001,5.12826664420943,6.46272421133547,8.17890223074749,4.24434214276264,5.78728295104407,7.69746472629065
"154","Lower Mainstem",2001,1.75697673661717,2.4079003433516,3.22436838099839,9.48593739712436,11.2586138859371,13.5166182904434
"155","Middle Mainstem",2001,4.41536791307665,6.13242798192787,8.38892704650311,9.28776292801231,11.1207935376948,13.4286331849937
"156","Pelly",2001,9.08138652822204,10.9856432946968,13.2314340709378,7.10030186431938,8.89314011031585,11.1149302814725
"157","Stewart",2001,4.53780291015458,6.19917054800131,8.36172093412388,2.83653495579466,4.08279842305883,5.81438315257116
"158","Teslin",2001,11.9749907292944,14.3092420722455,17.0658630597934,5.02488785570922,6.69111525971114,8.67676983237834
"159","Upper Lakes and Mainstem",2001,2.537278278775,3.58804603619519,5.19721550553782,5.22511818931375,6.41213902487567,7.78069591281735
"160","White-Donjek",2001,6.90670105676142,9.93382291115181,13.6084672280654,2.33819185240634,3.45446334117336,5.54266103235509
"161","Carmacks",2002,6.40257294517342,7.85825781312208,9.53832968463081,11.2677860983709,11.9944252744045,12.7327091942252
"162","Lower Mainstem",2002,3.07737466966109,3.97676968515098,4.97711112450424,9.40003735311314,11.2528319594166,13.5925784571634
"163","Middle Mainstem",2002,13.0640441860145,16.1446863670108,19.6439133249848,4.42063279700413,5.14137076981413,5.93849351934274
"164","Pelly",2002,10.0760901042977,12.1286211319883,14.5059120237487,6.37146366977868,8.02661990810819,10.2450929358465
"165","Stewart",2002,6.77367469095339,8.7715263289164,10.8553467045785,2.44827244770896,3.70688698182587,5.60404419509235
